"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","Ƹ","c6b8","LATIN CAPITAL LETTER EZH REVERSED (U+01B8)","Z","REVERSE EZH"
"U+00100+","ƹ","c6b9","LATIN SMALL LETTER EZH REVERSED (U+01B9)","z","EZH"
"U+00100+","ƺ","c6ba","LATIN SMALL LETTER EZH WITH TAIL (U+01BA)","z","EZH"
"U+00100+","ƻ","c6bb","LATIN LETTER TWO WITH STROKE (U+01BB)",2,2
"U+00100+","Ƽ","c6bc","LATIN CAPITAL LETTER TONE FIVE (U+01BC)",5,5
"U+00100+","ƽ","c6bd","LATIN SMALL LETTER TONE FIVE (U+01BD)",5,5
"U+00100+","ƾ","c6be","LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE (U+01BE)","?","?"
"U+00100+","ƿ","c6bf","LATIN LETTER WYNN (U+01BF)","p","WYNN"
"U+00100+","ǀ","c780","LATIN LETTER DENTAL CLICK (U+01C0)","l","l"
"U+00100+","ǁ","c781","LATIN LETTER LATERAL CLICK (U+01C1)","ll","ll"
"U+00100+","ǂ","c782","LATIN LETTER ALVEOLAR CLICK (U+01C2)","t","tt"
"U+00100+","ǃ","c783","LATIN LETTER RETROFLEX CLICK (U+01C3)","!","!"
"U+00100+","Ǆ","c784","LATIN CAPITAL LETTER DZ WITH CARON (U+01C4)","D","DZ"
"U+00100+","ǅ","c785","LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON (U+01C5)","D","Dz"
"U+00100+","ǆ","c786","LATIN SMALL LETTER DZ WITH CARON (U+01C6)","d","dz"
"U+00100+","Ǉ","c787","LATIN CAPITAL LETTER LJ (U+01C7)","L","LJ"
"U+00100+","ǈ","c788","LATIN CAPITAL LETTER L WITH SMALL LETTER J (U+01C8)","L","Lj"
"U+00100+","ǉ","c789","LATIN SMALL LETTER LJ (U+01C9)","l","lj"
"U+00100+","Ǌ","c78a","LATIN CAPITAL LETTER NJ (U+01CA)","N","NJ"
"U+00100+","ǋ","c78b","LATIN CAPITAL LETTER N WITH SMALL LETTER J (U+01CB)","N","Nj"
"U+00100+","ǌ","c78c","LATIN SMALL LETTER NJ (U+01CC)","n","nj"
"U+00100+","Ǎ","c78d","LATIN CAPITAL LETTER A WITH CARON (U+01CD)","A","A"
"U+00100+","ǎ","c78e","LATIN SMALL LETTER A WITH CARON (U+01CE)","a","a"
"U+00100+","Ǐ","c78f","LATIN CAPITAL LETTER I WITH CARON (U+01CF)","I","I"
"U+00100+","ǐ","c790","LATIN SMALL LETTER I WITH CARON (U+01D0)","i","i"
"U+00100+","Ǒ","c791","LATIN CAPITAL LETTER O WITH CARON (U+01D1)","O","O"
"U+00100+","ǒ","c792","LATIN SMALL LETTER O WITH CARON (U+01D2)","o","o"
"U+00100+","Ǔ","c793","LATIN CAPITAL LETTER U WITH CARON (U+01D3)","U","U"
"U+00100+","ǔ","c794","LATIN SMALL LETTER U WITH CARON (U+01D4)","u","u"
"U+00100+","Ǖ","c795","LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON (U+01D5)","U","U"
"U+00100+","ǖ","c796","LATIN SMALL LETTER U WITH DIAERESIS AND MACRON (U+01D6)","u","u"
"U+00100+","Ǘ","c797","LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE (U+01D7)","U","U"
"U+00100+","ǘ","c798","LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE (U+01D8)","u","u"
"U+00100+","Ǚ","c799","LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON (U+01D9)","U","U"
"U+00100+","ǚ","c79a","LATIN SMALL LETTER U WITH DIAERESIS AND CARON (U+01DA)","u","u"
